time,temperature_2m,precipitation,wind_speed_10m
2025-10-11 18:00:00,21.5,0.0,6.1
2025-10-11 19:00:00,20.3,0.0,3.2
2025-10-11 20:00:00,19.5,0.0,5.0
2025-10-11 21:00:00,19.1,0.0,6.6
2025-10-11 22:00:00,18.9,0.0,7.7
2025-10-11 23:00:00,18.8,0.0,8.5
2025-10-12 00:00:00,18.6,0.0,9.3
2025-10-12 01:00:00,18.5,0.0,9.8
2025-10-12 02:00:00,18.5,0.0,10.1
2025-10-12 03:00:00,18.5,0.0,10.1
2025-10-12 04:00:00,18.5,0.0,9.7
2025-10-12 05:00:00,18.4,0.0,9.5
2025-10-12 06:00:00,17.9,0.0,10.0
2025-10-12 07:00:00,17.3,0.0,10.1
2025-10-12 08:00:00,17.4,0.0,9.5
2025-10-12 09:00:00,18.6,0.0,7.3
2025-10-12 10:00:00,20.3,0.0,5.2
2025-10-12 11:00:00,21.8,0.0,6.3
2025-10-12 12:00:00,22.5,0.0,9.4
2025-10-12 13:00:00,22.8,0.0,12.8
2025-10-12 14:00:00,22.9,0.0,15.2
2025-10-12 15:00:00,22.8,0.0,15.0
2025-10-12 16:00:00,22.4,0.0,13.7
2025-10-12 17:00:00,21.8,0.0,10.9
2025-10-12 18:00:00,21.0,0.0,7.2
2025-10-12 19:00:00,19.9,0.0,4.1
2025-10-12 20:00:00,19.0,0.0,5.0
2025-10-12 21:00:00,18.5,0.0,6.4
2025-10-12 22:00:00,18.2,0.0,7.0
2025-10-12 23:00:00,17.9,0.0,7.6
