date,session_key,driver_number,gap_to_leader,meeting_key,interval
2025-10-05T12:04:06.157000+00:00,9896,16,1.904,1270,0.126
2025-10-05T12:04:06.797000+00:00,9896,12,2.581,1270,0.677
2025-10-05T12:04:06.952000+00:00,9896,10,6.812,1270,1.0
2025-10-05T12:04:07.172000+00:00,9896,44,2.817,1270,0.236
2025-10-05T12:04:07.181000+00:00,9896,14,2.913,1270,0.096
2025-10-05T12:04:07.551000+00:00,9896,6,3.26,1270,0.347
2025-10-05T12:04:07.651000+00:00,9896,23,7.525,1270,0.713
2025-10-05T12:04:08.099000+00:00,9896,87,3.852,1270,0.592
2025-10-05T12:04:08.300000+00:00,9896,27,4.076,1270,0.224
2025-10-05T12:04:08.635000+00:00,9896,30,4.376,1270,0.3
2025-10-05T12:04:08.932000+00:00,9896,43,4.691,1270,0.315
2025-10-05T12:04:09.089000+00:00,9896,22,4.807,1270,0.116
2025-10-05T12:04:09.170000+00:00,9896,18,4.905,1270,0.098
2025-10-05T12:04:09.170000+00:00,9896,5,4.921,1270,0.016
2025-10-05T12:04:09.654000+00:00,9896,31,5.313,1270,0.392
2025-10-05T12:04:09.930000+00:00,9896,55,5.703,1270,0.39
2025-10-05T12:04:10.931000+00:00,9896,10,6.706,1270,1.003
2025-10-05T12:04:11.695000+00:00,9896,23,7.45,1270,0.744
2025-10-05T12:04:11.957000+00:00,9896,1,1.153,1270,1.153
2025-10-05T12:04:12.246000+00:00,9896,4,1.458,1270,0.305
2025-10-05T12:04:12.855000+00:00,9896,81,2.04,1270,0.582
2025-10-05T12:04:13.183000+00:00,9896,16,2.368,1270,0.328
2025-10-05T12:04:13.917000+00:00,9896,12,2.859,1270,0.491
2025-10-05T12:04:14.167000+00:00,9896,44,3.24,1270,0.381
2025-10-05T12:04:14.449000+00:00,9896,14,3.557,1270,0.317
2025-10-05T12:04:14.589000+00:00,9896,6,3.78,1270,0.223
2025-10-05T12:04:15.042000+00:00,9896,87,4.239,1270,0.459
2025-10-05T12:04:15.433000+00:00,9896,27,4.574,1270,0.335
2025-10-05T12:04:15.839000+00:00,9896,30,5.032,1270,0.458
2025-10-05T12:04:16.292000+00:00,9896,43,5.489,1270,0.457
2025-10-05T12:04:16.870000+00:00,9896,18,5.933,1270,0.444
2025-10-05T12:04:16.898000+00:00,9896,22,6.103,1270,0.17
2025-10-05T12:04:17.074000+00:00,9896,5,6.242,1270,0.139
2025-10-05T12:04:17.347000+00:00,9896,31,6.498,1270,0.256
2025-10-05T12:04:17.597000+00:00,9896,55,6.753,1270,0.255
2025-10-05T12:04:17.940000+00:00,9896,10,7.133,1270,0.38
2025-10-05T12:04:18.514000+00:00,9896,1,1.232,1270,1.232
2025-10-05T12:04:18.514000+00:00,9896,23,7.716,1270,0.583
2025-10-05T12:04:18.894000+00:00,9896,4,1.574,1270,0.342
2025-10-05T12:04:19.476000+00:00,9896,81,2.207,1270,0.633
2025-10-05T12:04:20.022000+00:00,9896,16,2.755,1270,0.548
2025-10-05T12:04:20.457000+00:00,9896,12,3.178,1270,0.423
2025-10-05T12:04:20.815000+00:00,9896,44,3.545,1270,0.367
2025-10-05T12:04:21.488000+00:00,9896,6,4.189,1270,0.644
2025-10-05T12:04:21.565000+00:00,9896,14,4.276,1270,0.087
2025-10-05T12:04:21.870000+00:00,9896,87,4.586,1270,0.31
2025-10-05T12:04:22.430000+00:00,9896,27,5.133,1270,0.547
2025-10-05T12:04:22.897000+00:00,9896,30,5.627,1270,0.494
2025-10-05T12:04:23.288000+00:00,9896,1,1.356,1270,1.356
2025-10-05T12:04:23.453000+00:00,9896,43,6.186,1270,0.559
2025-10-05T12:04:23.564000+00:00,9896,4,1.657,1270,0.301
2025-10-05T12:04:23.997000+00:00,9896,18,6.727,1270,0.541
2025-10-05T12:04:24.162000+00:00,9896,81,2.231,1270,0.574
2025-10-05T12:04:24.428000+00:00,9896,22,7.094,1270,0.367
2025-10-05T12:04:24.437000+00:00,9896,5,7.104,1270,0.01
2025-10-05T12:04:24.834000+00:00,9896,31,7.565,1270,0.461
2025-10-05T12:04:24.834000+00:00,9896,16,2.921,1270,0.69
2025-10-05T12:04:25.253000+00:00,9896,55,7.987,1270,0.422
2025-10-05T12:04:25.316000+00:00,9896,12,3.416,1270,0.495
2025-10-05T12:04:25.646000+00:00,9896,10,8.352,1270,0.365
2025-10-05T12:04:25.755000+00:00,9896,44,3.845,1270,0.429
2025-10-05T12:04:26.158000+00:00,9896,23,8.893,1270,0.541
2025-10-05T12:04:26.470000+00:00,9896,6,4.575,1270,0.73
2025-10-05T12:04:26.971000+00:00,9896,14,4.964,1270,0.389
2025-10-05T12:04:27.124000+00:00,9896,87,5.207,1270,0.243
2025-10-05T12:04:27.370000+00:00,9896,27,5.472,1270,0.265
2025-10-05T12:04:27.770000+00:00,9896,1,1.306,1270,1.306
2025-10-05T12:04:27.870000+00:00,9896,30,5.983,1270,0.511
2025-10-05T12:04:28.165000+00:00,9896,4,1.67,1270,0.364
2025-10-05T12:04:28.437000+00:00,9896,43,6.489,1270,0.506
2025-10-05T12:04:28.620000+00:00,9896,81,2.134,1270,0.464
2025-10-05T12:04:29.252000+00:00,9896,18,7.357,1270,0.868
2025-10-05T12:04:29.370000+00:00,9896,16,2.876,1270,0.742
2025-10-05T12:04:29.668000+00:00,9896,5,7.704,1270,0.347
2025-10-05T12:04:29.865000+00:00,9896,12,3.374,1270,0.498
2025-10-05T12:04:29.870000+00:00,9896,22,7.958,1270,0.254
2025-10-05T12:04:30.233000+00:00,9896,31,8.305,1270,0.347
2025-10-05T12:04:30.315000+00:00,9896,44,3.808,1270,0.434
2025-10-05T12:04:30.572000+00:00,9896,55,8.671,1270,0.366
2025-10-05T12:04:30.914000+00:00,9896,10,9.02,1270,0.349
2025-10-05T12:04:31.144000+00:00,9896,6,4.672,1270,0.864
